id, file_name, class_id, class_name
1,piano_3_Af_a_m_45.wav,1,Af
2,piano_4_Gn_j_f_13.wav,12,Gn
3,piano_2_Fn_d_m_63.wav,10,Fn
4,piano_2_Df_a_f_47.wav,6,Df
5,piano_4_Fn_a_p_91.wav,10,Fn
6,piano_3_Cn_d_f_61.wav,5,Cn
7,piano_4_En_j_m_07.wav,9,En
8,piano_2_Dn_d_f_77.wav,7,Dn
9,piano_2_An_n_f_59.wav,2,An
10,piano_3_An_d_m_75.wav,2,An
11,piano_4_Df_n_p_40.wav,6,Df
12,piano_3_Gf_d_f_30.wav,11,Gf
13,piano_2_Fn_n_f_96.wav,10,Fn
14,piano_3_Cn_n_m_94.wav,5,Cn
15,piano_2_Bf_d_m_32.wav,3,Bf
16,piano_3_En_a_m_14.wav,9,En
17,piano_2_An_j_p_94.wav,2,An
18,piano_2_Ef_n_f_08.wav,8,Ef
19,piano_2_Dn_n_m_82.wav,7,Dn
20,piano_3_Ef_d_m_24.wav,8,Ef
21,piano_2_Bn_a_m_02.wav,4,Bn
22,piano_3_Fn_j_p_82.wav,10,Fn
23,piano_3_An_n_f_80.wav,2,An
24,piano_3_Gn_a_f_00.wav,12,Gn
25,piano_4_Af_j_m_56.wav,1,Af
26,piano_4_Bn_a_f_29.wav,4,Bn
27,piano_4_Ef_n_m_23.wav,8,Ef
28,piano_3_Dn_a_p_77.wav,7,Dn
29,piano_4_An_d_f_87.wav,2,An
30,piano_2_Cn_a_p_61.wav,5,Cn
31,piano_3_Df_d_p_47.wav,6,Df
32,piano_4_Gf_n_f_37.wav,11,Gf
33,piano_3_Af_n_p_69.wav,1,Af
34,piano_4_Bf_d_f_19.wav,3,Bf
35,piano_4_Cn_d_m_93.wav,5,Cn
36,piano_2_Gn_d_p_00.wav,12,Gn
37,piano_4_An_n_m_72.wav,2,An
38,piano_3_En_n_p_38.wav,9,En
39,piano_4_Fn_d_f_48.wav,10,Fn
40,piano_2_Gn_j_m_38.wav,12,Gn
41,piano_4_Dn_j_p_64.wav,7,Dn
42,piano_4_Cn_n_f_66.wav,5,Cn
43,piano_2_Gf_a_p_30.wav,11,Gf
44,piano_2_Gn_d_p_14.wav,12,Gn
45,piano_4_Dn_d_m_48.wav,7,Dn
46,piano_2_En_j_f_38.wav,9,En
47,piano_4_An_n_m_66.wav,2,An
48,piano_4_Dn_j_p_70.wav,7,Dn
49,piano_4_Cn_n_f_72.wav,5,Cn
50,piano_4_Df_a_m_78.wav,6,Df
51,piano_2_Gf_a_p_24.wav,11,Gf
52,piano_4_Ef_n_m_37.wav,8,Ef
53,piano_3_Dn_a_p_63.wav,7,Dn
54,piano_2_Af_j_f_69.wav,1,Af
55,piano_4_An_d_f_93.wav,2,An
56,piano_2_Cn_a_p_75.wav,5,Cn
57,piano_3_Df_d_p_53.wav,6,Df
58,piano_4_Gf_n_f_23.wav,11,Gf
59,piano_4_Cn_d_m_87.wav,5,Cn
60,piano_2_Fn_n_f_82.wav,10,Fn
61,piano_4_Df_n_p_54.wav,6,Df
62,piano_3_Gf_d_f_24.wav,11,Gf
63,piano_2_Gf_n_m_08.wav,11,Gf
64,piano_2_Af_a_m_88.wav,1,Af
65,piano_3_Ef_j_p_08.wav,8,Ef
66,piano_2_Bf_d_m_26.wav,3,Bf
67,piano_3_Cn_n_m_80.wav,5,Cn
68,piano_2_An_j_p_80.wav,2,An
69,piano_3_En_a_m_00.wav,9,En
70,piano_3_Ef_d_m_30.wav,8,Ef
71,piano_2_Dn_n_m_96.wav,7,Dn
72,piano_3_Fn_j_p_96.wav,10,Fn
