id, file_name, class_id, class_name
1,piano_3_Af_a_m_45.wav,4,a
2,piano_4_Gn_j_f_13.wav,1,j
3,piano_2_Fn_d_m_63.wav,3,d
4,piano_2_Df_a_f_47.wav,4,a
5,piano_4_Fn_a_p_91.wav,4,a
6,piano_3_Cn_d_f_61.wav,3,d
7,piano_4_En_j_m_07.wav,1,j
8,piano_2_Dn_d_f_77.wav,3,d
9,piano_2_An_n_f_59.wav,2,n
10,piano_3_An_d_m_75.wav,3,d
11,piano_4_Df_n_p_40.wav,2,n
12,piano_3_Gf_d_f_30.wav,3,d
13,piano_2_Fn_n_f_96.wav,2,n
14,piano_3_Cn_n_m_94.wav,2,n
15,piano_2_Bf_d_m_32.wav,3,d
16,piano_3_En_a_m_14.wav,4,a
17,piano_2_An_j_p_94.wav,1,j
18,piano_2_Ef_n_f_08.wav,2,n
19,piano_2_Dn_n_m_82.wav,2,n
20,piano_3_Ef_d_m_24.wav,3,d
21,piano_2_Bn_a_m_02.wav,4,a
22,piano_3_Fn_j_p_82.wav,1,j
23,piano_3_An_n_f_80.wav,2,n
24,piano_3_Gn_a_f_00.wav,4,a
25,piano_4_Af_j_m_56.wav,1,j
26,piano_4_Bn_a_f_29.wav,4,a
27,piano_4_Ef_n_m_23.wav,2,n
28,piano_3_Dn_a_p_77.wav,4,a
29,piano_4_An_d_f_87.wav,3,d
30,piano_2_Cn_a_p_61.wav,4,a
31,piano_3_Df_d_p_47.wav,3,d
32,piano_4_Gf_n_f_37.wav,2,n
33,piano_3_Af_n_p_69.wav,2,n
34,piano_4_Bf_d_f_19.wav,3,d
35,piano_4_Cn_d_m_93.wav,3,d
36,piano_2_Gn_d_p_00.wav,3,d
37,piano_4_An_n_m_72.wav,2,n
38,piano_3_En_n_p_38.wav,2,n
39,piano_4_Fn_d_f_48.wav,3,d
40,piano_2_Gn_j_m_38.wav,1,j
41,piano_4_Dn_j_p_64.wav,1,j
42,piano_4_Cn_n_f_66.wav,2,n
43,piano_2_Gf_a_p_30.wav,4,a
44,piano_2_Gn_d_p_14.wav,3,d
45,piano_4_Dn_d_m_48.wav,3,d
46,piano_2_En_j_f_38.wav,1,j
47,piano_4_An_n_m_66.wav,2,n
48,piano_4_Dn_j_p_70.wav,1,j
49,piano_4_Cn_n_f_72.wav,2,n
50,piano_4_Df_a_m_78.wav,4,a
51,piano_2_Gf_a_p_24.wav,4,a
52,piano_4_Ef_n_m_37.wav,2,n
53,piano_3_Dn_a_p_63.wav,4,a
54,piano_2_Af_j_f_69.wav,1,j
55,piano_4_An_d_f_93.wav,3,d
56,piano_2_Cn_a_p_75.wav,4,a
57,piano_3_Df_d_p_53.wav,3,d
58,piano_4_Gf_n_f_23.wav,2,n
59,piano_4_Cn_d_m_87.wav,3,d
60,piano_2_Fn_n_f_82.wav,2,n
61,piano_4_Df_n_p_54.wav,2,n
62,piano_3_Gf_d_f_24.wav,3,d
63,piano_2_Gf_n_m_08.wav,2,n
64,piano_2_Af_a_m_88.wav,4,a
65,piano_3_Ef_j_p_08.wav,1,j
66,piano_2_Bf_d_m_26.wav,3,d
67,piano_3_Cn_n_m_80.wav,2,n
68,piano_2_An_j_p_80.wav,1,j
69,piano_3_En_a_m_00.wav,4,a
70,piano_3_Ef_d_m_30.wav,3,d
71,piano_2_Dn_n_m_96.wav,2,n
72,piano_3_Fn_j_p_96.wav,1,j
73,piano_2_Bn_a_m_16.wav,4,a
74,piano_3_An_n_f_94.wav,2,n
75,piano_4_Af_j_m_42.wav,1,j
76,piano_3_Gn_a_f_14.wav,4,a
77,piano_4_Gn_j_f_07.wav,1,j
78,piano_3_Af_a_m_51.wav,4,a
79,piano_2_Fn_d_m_77.wav,3,d
80,piano_4_Fn_a_p_85.wav,4,a
81,piano_2_Df_a_f_53.wav,4,a
82,piano_3_An_j_p_59.wav,1,j
83,piano_3_Cn_d_f_75.wav,3,d
84,piano_2_Cn_n_m_59.wav,2,n
85,piano_4_En_j_m_13.wav,1,j
86,piano_4_Df_j_f_99.wav,1,j
87,piano_2_Dn_d_f_63.wav,3,d
88,piano_3_An_d_m_61.wav,3,d
89,piano_3_Ef_j_p_20.wav,1,j
90,piano_3_Fn_d_m_86.wav,3,d
91,piano_2_Gf_n_m_20.wav,2,n
92,piano_3_En_a_m_28.wav,4,a
93,piano_3_Bf_n_f_22.wav,2,n
94,piano_4_Af_d_p_52.wav,3,d
95,piano_2_Cn_d_f_84.wav,3,d
96,piano_4_An_a_p_62.wav,4,a
97,piano_2_Ef_n_f_34.wav,2,n
98,piano_3_Dn_d_f_92.wav,3,d
99,piano_3_Ef_d_m_18.wav,3,d
100,piano_2_Bf_j_p_36.wav,1,j
101,piano_2_An_d_m_90.wav,3,d
102,piano_3_Fn_n_f_73.wav,2,n
103,piano_4_En_d_p_03.wav,3,d
104,piano_3_Af_a_m_79.wav,4,a
105,piano_2_Cn_n_m_71.wav,2,n
106,piano_3_An_j_p_71.wav,1,j
107,piano_3_Dn_n_m_67.wav,2,n
108,piano_2_Fn_j_p_67.wav,1,j
109,piano_2_An_n_f_65.wav,2,n
110,piano_3_An_d_m_49.wav,3,d
111,piano_4_Ef_a_p_33.wav,4,a
112,piano_2_En_j_f_10.wav,1,j
113,piano_4_Dn_d_m_60.wav,3,d
114,piano_3_Af_j_f_98.wav,1,j
115,piano_2_Dn_a_p_92.wav,4,a
116,piano_2_Bn_n_p_12.wav,2,n
117,piano_2_Gn_j_m_04.wav,1,j
118,piano_4_Dn_j_p_58.wav,1,j
119,piano_3_Cn_a_p_84.wav,4,a
120,piano_4_Fn_d_f_74.wav,3,d
121,piano_3_En_n_p_04.wav,2,n
122,piano_3_Bn_j_f_06.wav,1,j
123,piano_4_Df_a_m_50.wav,4,a
124,piano_4_Dn_n_f_95.wav,2,n
125,piano_3_Df_j_m_43.wav,1,j
126,piano_4_Bn_a_f_15.wav,4,a
127,piano_2_Af_j_f_41.wav,1,j
128,piano_4_Cn_j_p_97.wav,1,j
129,piano_4_Fn_n_m_81.wav,2,n
130,piano_4_Bf_d_f_25.wav,3,d
131,piano_3_Af_n_p_55.wav,2,n
132,piano_4_Dn_n_f_81.wav,2,n
133,piano_4_Bn_a_f_01.wav,4,a
134,piano_3_Df_j_m_57.wav,1,j
135,piano_4_Cn_j_p_83.wav,1,j
136,piano_2_Af_j_f_55.wav,1,j
137,piano_4_Fn_n_m_95.wav,2,n
138,piano_2_Cn_a_p_49.wav,4,a
139,piano_4_Bf_d_f_31.wav,3,d
140,piano_3_Af_n_p_41.wav,2,n
141,piano_2_En_j_f_04.wav,1,j
142,piano_2_Gn_d_p_28.wav,3,d
143,piano_4_Dn_d_m_74.wav,3,d
144,piano_2_Dn_a_p_86.wav,4,a
145,piano_2_Bn_n_p_06.wav,2,n
146,piano_3_Cn_a_p_90.wav,4,a
147,piano_2_Gn_j_m_10.wav,1,j
148,piano_4_Fn_d_f_60.wav,3,d
149,piano_3_En_n_p_10.wav,2,n
150,piano_4_Df_a_m_44.wav,4,a
151,piano_3_Bn_j_f_12.wav,1,j
152,piano_2_Gf_a_p_18.wav,4,a
153,piano_2_Af_n_p_98.wav,2,n
154,piano_3_Fn_n_f_67.wav,2,n
155,piano_4_En_d_p_17.wav,3,d
156,piano_3_Cn_d_f_49.wav,3,d
157,piano_2_Cn_n_m_65.wav,2,n
158,piano_3_An_j_p_65.wav,1,j
159,piano_3_Dn_n_m_73.wav,2,n
160,piano_2_Fn_j_p_73.wav,1,j
161,piano_2_An_n_f_71.wav,2,n
162,piano_4_Ef_a_p_27.wav,4,a
163,piano_3_Ef_j_p_34.wav,1,j
164,piano_3_Gf_d_f_18.wav,3,d
165,piano_4_Df_n_p_68.wav,2,n
166,piano_2_Gf_n_m_34.wav,2,n
167,piano_3_Fn_d_m_92.wav,3,d
168,piano_2_Cn_d_f_90.wav,3,d
169,piano_3_Bf_n_f_36.wav,2,n
170,piano_4_Af_d_p_46.wav,3,d
171,piano_4_An_a_p_76.wav,4,a
172,piano_3_Dn_d_f_86.wav,3,d
173,piano_2_Ef_n_f_20.wav,2,n
174,piano_2_Bf_j_p_22.wav,1,j
175,piano_3_Gn_a_f_28.wav,4,a
176,piano_2_An_d_m_84.wav,3,d
177,piano_2_Dn_n_m_41.wav,2,n
178,piano_3_Fn_j_p_41.wav,1,j
179,piano_4_Bn_d_p_33.wav,3,d
180,piano_3_An_n_f_43.wav,2,n
181,piano_4_Af_j_m_95.wav,1,j
182,piano_4_Df_n_p_83.wav,2,n
183,piano_2_Fn_n_f_55.wav,2,n
184,piano_3_Fn_d_m_79.wav,3,d
185,piano_4_Bf_a_p_03.wav,4,a
186,piano_3_Cn_n_m_57.wav,2,n
187,piano_2_An_j_p_57.wav,1,j
